feature	importance.x	Frequency.x	importance.y	Frequency.y	comparison	drug
ENSG00000105290_gex	0.8438847282788935	2	0.17760380821289284	2	CCLE	ERLOTINIB
ENSG00000160867_gex	0.843864928945141	2	0.03819683413626979	1	CCLE	ERLOTINIB
ENSG00000108515_gex	0.8435110158543164	2	0.03303509979353063	1	CCLE	ERLOTINIB
ENSG00000148356_gex	0.839516500269766	2	0.39473503097040613	2	CCLE	ERLOTINIB
ENSG00000108001_gex	0.838954694174541	2	0.030890112411103468	2	CCLE	ERLOTINIB
ENSG00000242366_gex	0.8342177035742748	2	0.042326221610461116	1	CCLE	ERLOTINIB
ENSG00000164122_gex	0.8330693422166344	2	0.31589814177563663	1	CCLE	ERLOTINIB
ENSG00000204386_gex	0.829698505645285	2	0.3320715760495526	1	CCLE	ERLOTINIB
ENSG00000167601_gex	0.829512886891356	2	0.016517549896765314	1	CCLE	ERLOTINIB
ENSG00000171772_gex	0.827854692689591	2	0.3041982105987612	1	CCLE	ERLOTINIB
ENSG00000100197_gex	0.8274958297653284	2	0.32856159669649004	2	CCLE	ERLOTINIB
ENSG00000169905_gex	0.8266914818316363	2	0.03854094975911907	1	CCLE	ERLOTINIB
ENSG00000003989_cnv	0.826102451652502	2	0.3367400779995412	2	CCLE	ERLOTINIB
ENSG00000172208_gex	0.8235186385978113	2	0.292842395044735	1	CCLE	ERLOTINIB
ENSG00000165097_gex	0.8229197087518004	2	0.42902615278733663	2	CCLE	ERLOTINIB
ENSG00000025770_gex	0.8200859291084855	2	0.5095549437944483	2	CCLE	ERLOTINIB
ENSG00000132182_gex	0.8198334876031421	2	0.05092911218169305	1	CCLE	ERLOTINIB
ENSG00000100147_gex	0.8194028520940271	2	0.36768180775407205	2	CCLE	ERLOTINIB
ENSG00000118804_gex	0.8190019155855406	2	0.12438632713925213	2	CCLE	ERLOTINIB
ENSG00000043462_cnv	0.8164453266147594	2	0.2611837577426015	1	CCLE	ERLOTINIB
ENSG00000069018_gex	0.814957901666609	2	0.24826221610461116	2	CCLE	ERLOTINIB
ENSG00000187135_gex	0.8106985699931197	2	0.02408809359944942	1	CCLE	ERLOTINIB
ENSG00000168748_gex	0.8077979675983904	2	0.008602890571231933	1	CCLE	ERLOTINIB
ENSG00000109475_gex	0.8077558940141665	2	0.2832071576049553	1	CCLE	ERLOTINIB
ENSG00000083290_cnv	0.8052191043771376	2	0.25361321403991743	1	CCLE	ERLOTINIB
ENSG00000118972_gex	0.8051671311260375	2	0.02374397797660014	1	CCLE	ERLOTINIB
ENSG00000107187_cnv	0.8038108767639969	2	0.22814865794907088	1	CCLE	ERLOTINIB
ENSG00000058091_gex	0.8011874650418014	2	0.24783780683643036	2	CCLE	ERLOTINIB
ENSG00000041802_cnv	0.8009746222039629	2	0.26187198898830005	1	CCLE	ERLOTINIB
ENSG00000167657_gex	0.8000688026847897	2	0.6477345721495756	2	CCLE	ERLOTINIB
ENSG00000007080_gex	0.7978933508887427	2	0.5771220463409039	2	CCLE	ERLOTINIB
ENSG00000173473_gex	0.7970741534547363	2	0.31486579490708877	1	CCLE	ERLOTINIB
ENSG00000215375_cnv	0.7970518792042648	2	0.09635237439779766	1	CCLE	ERLOTINIB
ENSG00000182667_cnv	0.7911912764135486	2	0.1307639366827254	1	CCLE	ERLOTINIB
ENSG00000101146_gex	0.7889069282818634	2	0.5947178251892635	2	CCLE	ERLOTINIB
ENSG00000152669_gex	0.7884243195216482	2	0.3024776324845148	1	CCLE	ERLOTINIB
ENSG00000186049_cnv	0.7875704732535751	2	0.12284927735719202	1	CCLE	ERLOTINIB
ENSG00000146909_gex	0.7865136838145397	2	0.31142463867859604	1	CCLE	ERLOTINIB
ENSG00000134757_gex	0.7856598375464665	2	0.05953200275292499	1	CCLE	ERLOTINIB
ENSG00000172640_gex	0.7838308740910869	2	0.015141087405368205	1	CCLE	ERLOTINIB
ENSG00000142279_gex	0.7808956228622906	2	0.03269098417068136	1	CCLE	ERLOTINIB
ENSG00000005812_cnv	0.7792720774945924	2	0.2656572608396421	1	CCLE	ERLOTINIB
ENSG00000164270_gex	0.7787028466492103	2	0.03682037164487268	1	CCLE	ERLOTINIB
ENSG00000182327_gex	0.7745598360615166	2	0.267136958017894	2	CCLE	ERLOTINIB
ENSG00000185689_gex	0.7714117419948818	2	0.04060564349621473	1	CCLE	ERLOTINIB
ENSG00000085365_gex	0.7705554208100898	2	0.036682725395732974	2	CCLE	ERLOTINIB
ENSG00000134827_gex	0.7705182970593041	2	0.01858224363386098	1	CCLE	ERLOTINIB
ENSG00000255398_cnv	0.7694912066208972	2	0.08017894012388163	1	CCLE	ERLOTINIB
ENSG00000147677_gex	0.7685383636840619	2	0.610816701078229	2	CCLE	ERLOTINIB
ENSG00000196262_gex	0.7653036475322605	2	0.3083275980729525	1	CCLE	ERLOTINIB
ENSG00000105392_gex	0.7645364233493542	2	0.3035099793530626	1	CCLE	ERLOTINIB
ENSG00000129559_gex	0.7598563558336262	2	0.29421885753613214	1	CCLE	ERLOTINIB
ENSG00000105976_gex	0.7596930113301686	2	0.4982851571461344	2	CCLE	ERLOTINIB
ENSG00000196139_gex	0.7591534794854153	2	0.021679284239504475	1	CCLE	ERLOTINIB
ENSG00000167644_gex	0.7569582283556158	2	0.38189951823812807	2	CCLE	ERLOTINIB
ENSG00000139726_gex	0.7568716062704489	2	0.2852718513420509	1	CCLE	ERLOTINIB
ENSG00000149428_gex	0.7564360209278959	2	0.03475567790777701	1	CCLE	ERLOTINIB
ENSG00000120709_gex	0.7561068570042618	2	0.2737554484973618	2	CCLE	ERLOTINIB
ENSG00000105967_gex	0.756020234919095	2	0.5096639137416838	2	CCLE	ERLOTINIB
ENSG00000157765_cnv	0.7553569572383889	2	0.1686166551961459	1	CCLE	ERLOTINIB
ENSG00000178457_cnv	0.7534809703653471	2	0.13523743977976602	1	CCLE	ERLOTINIB
ENSG00000164828_gex	0.753330000445485	2	0.645830465703143	3	CCLE	ERLOTINIB
ENSG00000185666_gex	0.7523598330916165	2	0.3131452167928424	1	CCLE	ERLOTINIB
ENSG00000083312_gex	0.7511990971503809	2	0.05643496214728149	1	CCLE	ERLOTINIB
ENSG00000223496_cnv	0.7496745484514447	2	0.09325533379215417	1	CCLE	ERLOTINIB
ENSG00000176049_gex	0.7493255851940582	2	0.2876806607019959	1	CCLE	ERLOTINIB
ENSG00000186001_cnv	0.7474594979878927	2	0.12353750860289059	1	CCLE	ERLOTINIB
ENSG00000101336_gex	0.7470189628119014	2	0.32414544620325764	2	CCLE	ERLOTINIB
ENSG00000065609_cnv	0.7468308691412534	2	0.2584308327598073	1	CCLE	ERLOTINIB
ENSG00000132463_gex	0.7444697985912774	2	0.049208534067446665	1	CCLE	ERLOTINIB
ENSG00000150783_gex	0.7437099991585283	2	0.05918788713007571	1	CCLE	ERLOTINIB
ENSG00000165568_gex	0.7432422398986275	2	0.3117687543014453	1	CCLE	ERLOTINIB
ENSG00000170423_gex	0.7421928752097492	2	0.286648313833448	1	CCLE	ERLOTINIB
ENSG00000184293_gex	0.7327114692590594	2	0.06090846524432209	1	CCLE	ERLOTINIB
ENSG00000139874_cnv	0.7324837769209066	2	0.18960770818995182	1	CCLE	ERLOTINIB
ENSG00000136694_gex	0.7306077900478649	2	0.12131222757513192	2	CCLE	ERLOTINIB
ENSG00000129696_cnv	0.7291277898498716	2	0.280454232622161	1	CCLE	ERLOTINIB
ENSG00000227372_cnv	0.7284199636682226	2	0.09222298692360634	1	CCLE	ERLOTINIB
ENSG00000171346_gex	0.7283630405836844	2	0.02684101858224364	1	CCLE	ERLOTINIB
ENSG00000127831_gex	0.7247372875902726	2	0.05607937600367057	2	CCLE	ERLOTINIB
ENSG00000108848_gex	0.7231533408900791	2	0.11094287680660703	2	CCLE	ERLOTINIB
ENSG00000159173_cnv	0.7228316017166022	2	0.16758430832759807	1	CCLE	ERLOTINIB
ENSG00000166743_gex	0.7217723373608479	2	0.317618719889883	1	CCLE	ERLOTINIB
ENSG00000140835_gex	0.7213268523514185	2	0.27322780454232626	1	CCLE	ERLOTINIB
ENSG00000145626_gex	0.7210645111791988	2	0.5720864877265428	2	CCLE	ERLOTINIB
ENSG00000121417_gex	0.7192998955585144	2	0.2993805918788713	1	CCLE	ERLOTINIB
ENSG00000178645_gex	0.7189187583837805	2	0.006882312456985547	1	CCLE	ERLOTINIB
ENSG00000173157_gex	0.7185475208759226	2	0.01686166551961459	1	CCLE	ERLOTINIB
ENSG00000136738_gex	0.7121721354076437	2	0.2759807295251204	1	CCLE	ERLOTINIB
ENSG00000240194_gex	0.7101328040311443	2	0.2790777701307639	1	CCLE	ERLOTINIB
ENSG00000189144_gex	0.7095610982690433	2	0.27150722642807984	1	CCLE	ERLOTINIB
ENSG00000015676_cnv	0.7091428373435235	2	0.2639366827253957	1	CCLE	ERLOTINIB
ENSG00000163930_gex	0.7074475193909724	2	0.26806607019958706	1	CCLE	ERLOTINIB
ENSG00000265252_cnv	0.7070985561335861	2	0.07398485891259464	1	CCLE	ERLOTINIB
ENSG00000092531_gex	0.7069475862137239	2	0.08061481991282406	2	CCLE	ERLOTINIB
ENSG00000124103_gex	0.7044281209937285	2	0.6631108052305575	3	CCLE	ERLOTINIB
ENSG00000127993_gex	0.7037623683963035	2	0.029593943565037854	1	CCLE	ERLOTINIB
ENSG00000167654_gex	0.699441163804838	2	0.3220922229869236	1	CCLE	ERLOTINIB
ENSG00000086730_gex	0.6977334712686918	2	0.33763477861894936	2	CCLE	ERLOTINIB
ENSG00000141759_gex	0.6963475179060226	2	0.49050814406974086	2	CCLE	ERLOTINIB
ENSG00000090674_gex	0.6958723338959644	2	0.10250057352603809	2	CCLE	ERLOTINIB
ENSG00000103540_gex	0.6936597583491316	2	0.575321174581326	2	CCLE	ERLOTINIB
ENSG00000099817_cnv	0.6931969489226688	2	0.24879559532002754	1	CCLE	ERLOTINIB
ENSG00000185215_gex	0.6910610957941266	2	0.011011699931176875	1	CCLE	ERLOTINIB
ENSG00000112685_cnv	0.689853336435229	2	0.22677219545767377	1	CCLE	ERLOTINIB
ENSG00000111725_gex	0.6868636370386136	2	0.6278045423262217	2	CCLE	ERLOTINIB
ENSG00000198765_gex	0.6867374162859419	2	0.037852718513420515	1	CCLE	ERLOTINIB
ENSG00000124116_gex	0.6851658441693437	2	0.01307639366827254	1	CCLE	ERLOTINIB
ENSG00000158006_gex	0.6839234359763794	2	0.05230557467309016	1	CCLE	ERLOTINIB
ENSG00000077800_cnv	0.682822098036401	2	0.2567102546455609	1	CCLE	ERLOTINIB
ENSG00000135924_gex	0.6800873150618482	2	0.3207157604955265	1	CCLE	ERLOTINIB
ENSG00000233927_cnv	0.6761992208962169	2	0.08706125258086718	1	CCLE	ERLOTINIB
ENSG00000127837_gex	0.6756052408836444	2	0.009979353062629044	1	CCLE	ERLOTINIB
ENSG00000120937_cnv	0.6750409598717003	2	0.21920165175498968	1	CCLE	ERLOTINIB
ENSG00000176018_gex	0.6743356086067704	2	0.2914659325533379	1	CCLE	ERLOTINIB
ENSG00000184029_cnv	0.6716948724675414	2	0.12801101169993118	1	CCLE	ERLOTINIB
ENSG00000004059_cnv	0.6716107252990937	2	0.2660013764624914	1	CCLE	ERLOTINIB
ENSG00000165953_gex	0.6700837016834383	2	0.29215416379903647	1	CCLE	ERLOTINIB
ENSG00000080511_cnv	0.6682101897271158	2	0.254301445285616	1	CCLE	ERLOTINIB
