feature	A-674563	Abt-737	Afatinib	Alisertib	Alvocidib	AT-7519	Axitinib	Azd-1480	Barasertib	Bay 11-7085	BMS-345541 free base	Bortezomib	Bosutinib	Cabozantinib	Canertinib	Cediranib	Chir-99021	CI-1040	Crenolanib	Crizotinib	Dactolisib	Dasatinib	DBZ	Doramapimod	Dovitinib	Elesclomol	Erlotinib	Foretinib	GDC-0879	Gefitinib	GSK-1838705A	GSK-1904529A	Gsk-690693	GW-2580	Ibrutinib	Idelalisib	Imatinib	JNJ-28312141 free base	JNJ-7706621	JNJ38877605	JQ1 compound	KI20227	KU-55933	KW-2449	Lapatinib	Lenvatinib	Linifanib	Masitinib	Met Kinase Inhibitor	MGCD-265 analog	Midostaurin	MK-2206	MLN120B	MLN8054	Momelotinib	Motesanib	Neflamapimod	Neratinib	NF-kB Activation Inhibitor	Nilotinib	Nintedanib	NSC 74859	Nutlin-3	NVP-ADW742	Nvp-tae 684	Pazopanib	PD173955	Pelitinib	Pha-665752	PHT-427	PI-103	Pictilisib	Ponatinib	PP242	PRT062607	Pyridone 6	Quizartinib	Raf265(chir-265)	Regorafenib	Ruboxistaurin	Ruxolitinib	Sapanisertib	Saracatinib	SB-431542	Seliciclib	Selumetinib	Sepantronium bromide	Sgx-523	Sirolimus	SNS-032	Sorafenib	STO609	Sunitinib	Tanespimycin	TG-100-115	Tivozanib	Tofacitinib	Tozasertib	Trametinib	Vandetanib	Vatalanib	Vemurafenib	Venetoclax	Vismodegib	Volasertib	XAV-939
ASXL1_mut.panel	20.7453123335105	21.993013278295	27.7262740381862	41.1497538744811	10.8872331339874	19.8916009233448	9.6523301076073	12.3586737271887	11.1085823885889	25.3441018970302	47.7343925521344	44.2327216138699	19.4399448974133	3.73301166166701	3.582341308148	0	18.0447878975054	7.36403656892346	1.23245812605199	31.3271872931171	19.2378186556728	15.059759953767	71.9269393107322	10.2188674494493	4.30828997182666	25.6619136221478	12.1887945777367	6.05908249781302	25.1348466823358	30.228055576204	20.3713813203197	29.0530306679252	53.3994369895016	11.9420503371954	5.43558715347298	22.6081441218828	31.0024972688652	5.13932478501828	8.95135286663571	54.0336117426394	14.7689048104343	15.9657470358159	26.9011968930372	2.27722872224411	68.8674207463508	14.6559673933268	8.63797783791721	14.0598332197489	22.3173659745077	3.46438270877132	3.01031575888587	25.1075394919794	6.44567422907201	67.5665463478026	9.58078527090494	11.8160363376303	27.7021184891139	15.1657903990295	21.4569268206796	9.16547251521106	6.45756035833612	9.95101177602638	6.184760542864	1.6606423349958	4.32038449830907	11.4184002973279	32.2126812848391	2.37306408358956	44.1160712693366	44.1380369265037	5.22375256796714	25.5546819996228	0	6.31383814567762	16.5528325138815	24.0883692359153	7.83744488016458	19.9935461560398	1.92400067714366	3.55202758382694	0	22.7402775442261	15.472063526714	20.2949929694017	6.66074998993432	1.04113686396556	0	11.7507284429217	46.0764980027311	6.06921688820247	0.600020322489983	40.57240701556	1.41116576353349	1.32168067285182	16.5285362920372	6.78441481057767	58.3050412436118	11.8451763821941	2.02022175462033	4.83182220414498	43.7845833338444	26.5626983220265	0	53.6793977363133	31.2573141887462	14.2734281996666
Adipocytes_gex	3.1472127544482	37.2263937021979	32.1706487478735	8.44563408937738	7.9240855604356	44.7943631896151	6.27142447685629	17.6195772098434	4.0537682012728	39.3500018630497	39.8450472741561	45.8280938814819	20.8116654257871	1.73021054207014	4.64535278074048	49.9006875585527	4.20278881862254	11.4592730182059	1.51670864476884	27.479671505938	79.1155273593263	0	42.7982770143198	11.6822736565487	6.87302658985406	32.032731522235	17.4827011926996	1.8493568541349	42.5052749875726	21.4738051798778	39.6268987956629	31.325565409992	45.2087724184035	33.498641843065	8.6841930366973	16.5417359888889	17.2776474897594	4.77388280447981	10.7299476756928	47.177923526063	19.0207473025149	33.0062978490262	7.22260344580432	0.981830334884441	35.3789942116539	15.6613357108487	42.1182033928153	16.7730304189918	21.2031432039166	5.82591657166416	1.30152258803347	46.7470289940022	7.0009569984482	69.1252637603953	22.9982559184192	45.7794032917099	33.9380697350193	45.0587476616414	10.2053679701386	10.4068979415323	2.74913952556239	14.1676682901765	8.17163155766986	2.06353263186424	2.27109646018105	10.859535048156	49.2169849684999	3.67764150093265	32.8010753083672	70.9177048027902	10.415060999462	17.8732002474391	1.69264277207373	9.08546268026949	5.17174643451669	32.070981528851	0.603773355569496	18.5720682161918	0.105823833672616	2.61946145220655	58.0643804442801	16.5157226518057	11.6104822073152	69.4379326132407	40.1440053565292	7.66197556023863	25.8448716820157	9.85659882473494	67.822258279318	7.93960263841549	0.91289469709039	49.9383322199265	1.68252635956274	0.241587863130488	15.3622628915721	2.72995629489014	33.5329017791792	10.5692513435624	6.82072241112666	2.23814625272147	39.3635156174491	25.5818482727612	6.64444369826261	43.1997264153397	45.4383012917681	23.743381384619
Astrocytes_gex	40.7922431459982	56.8948280719413	41.1614942370756	51.7111329153503	4.99815223501282	17.4041564499382	18.1851998986458	35.5403348828019	5.0075834298939	40.8486167077501	65.7202149835149	56.9799688520001	16.9498919730513	1.22422037633943	6.62307616072212	40.9736082256258	15.6642538959911	7.51424902444436	0.903352457312136	66.803115522716	23.3375611722315	17.5047103247813	78.3619414299216	14.861130148121	5.06936051987421	19.7894914346843	12.7119069990149	1.70568931832842	49.4638197484837	27.8138925499141	62.1818167836565	60.2790470261429	45.0391674372935	62.5231544968333	6.45277556097714	78.4459273013903	77.7344578672287	11.8932308273423	31.1735607795891	44.6899610841238	17.2594440057468	21.6971933757204	72.5608521295059	2.51321289103504	62.2594208250436	15.709611313767	7.8594017640451	19.4613702410035	28.0662349561476	4.76534694978842	3.61048592920693	42.66749849698	22.9044440351368	46.0303263573794	20.8868082363966	25.7044576516133	98.2045329726713	35.7301620773536	10.5184964219329	31.2945145930052	2.26594852005716	34.1173917719245	5.62017215964122	1.42902027038189	1.82912341472013	15.0484150952764	44.1655781268618	1.9461942201008	37.3871522333991	76.333158125113	23.0057896491722	40.5565145433757	9.47422542339872	10.6168279004866	12.4221784683133	57.1056399111245	2.63169761284983	25.5695442936179	2.41726415810995	1.69762401135337	60.5219548945844	23.5740483766751	14.589403823198	35.6018265203517	61.7602557488163	4.51251627260381	18.5691699508272	14.1979999473877	64.106860449707	9.62974342101042	1.82151479932748	36.2309685098143	1.44627263224196	1.49915066762086	19.0256989156651	7.54109833598496	43.5014338581094	21.3433570175063	3.02816665177205	5.53648351221283	24.5414210425235	25.6617463860526	10.9031804575226	26.6833063726205	35.2027682248853	33.7218261853517
BCOR_mut.panel	20.5329444668358	39.6176772622883	24.4183726218383	27.5980502504214	11.307700685593	15.2775672993149	10.911005200376	17.4471454143203	3.83382954040453	33.7459539390343	49.3543618854812	42.0211391681108	12.7182179475876	0	5.04751123403326	21.6194690827803	12.3498099917843	0	1.02316543336134	0	0	14.3504067392034	59.2074901670609	0	0	30.0306200466457	15.7786368183442	1.30157285392754	36.7017282318391	31.0084130782531	24.8462446662784	0	36.3143760868602	0	4.30418051240043	15.3434189682	32.3071527700384	4.06001242222926	12.2035787179549	67.4934639504103	26.7381641687865	15.5704661338884	46.1862329468407	0	43.7563799653065	0	8.29086186103498	11.4844160761116	0	2.84506952813591	2.60772067227252	37.0537982114195	9.4454239734106	55.7375760031917	15.2196045092413	11.7387328265517	29.5252886861878	34.7666695782282	0	8.75248000920775	2.46471500108798	17.7537298718674	6.35174759493581	1.60494184778401	1.55411670493375	3.56861533810609	32.2653159529478	7.78022447588859	36.6940673699335	61.933858239331	9.23199008645035	25.2685564150909	2.88877451766793	7.85470781286921	0	40.2912772352429	1.54614517988168	65.5885066953243	0	1.72864310080113	42.0248920826496	25.7520760705259	11.2314909824503	41.190920141911	32.0679868601518	0	14.5854671381821	9.04188633430752	46.7313962908418	0	0.766842364286232	0	1.27868194835591	0	15.7083243368009	4.41227007804426	44.4368482575109	8.75463704846918	2.54349365449804	3.48155578612222	41.209612161844	53.7403385589369	0	59.8349777775786	53.393175728355	79.9024866227091
B_cells_gex	29.2709839017617	61.4895417879112	37.2833031695861	21.0513192262021	10.3095087184063	25.911734086201	16.8669493507878	35.3261326363578	2.3915504906024	28.5695434586971	44.3483940616071	70.314578138309	12.6513832016689	2.07039108145385	9.3083270963671	40.5089691618413	14.2765515331918	15.9136405673137	1.23211782328512	49.5257864197068	71.1863917121943	32.1724812610913	50.0315679520232	33.0859791509792	6.31582850389232	44.5603516029121	8.80426651892994	2.81039760236496	34.3348022374919	53.7028071460204	26.7451698997996	31.0066551434349	45.8132492189601	59.2213205951299	4.03113164961341	27.3768120994529	68.1261569798163	8.83236922570353	17.3732996045763	70.6691642774849	10.9613784550387	11.3618428466296	0	2.03317026731461	44.3370443910676	21.8501940712897	11.7505456811416	12.919633681318	22.4349569589692	4.82612940505723	5.27836207974199	64.1219775766797	25.3155961823674	54.6311609104716	17.9435765581363	31.72011796014	56.0322390103318	23.1811258761431	25.4846041684376	6.21413506116933	6.97657949853058	14.7634730075199	5.70221019112863	1.43796778997678	2.11182051434101	9.87524550264383	44.4439500689159	5.82950941519084	60.0421545975374	55.3393359408176	25.5850970263346	24.581281980447	3.69294680681506	22.4934380541	6.1960119492736	50.452887184104	2.07662699458784	10.9466392653498	4.5178577615772	1.67143297946901	94.3072792365973	18.1738176630613	7.75049290689121	52.1222087448127	59.3274525764607	3.49510145276268	22.6538898472166	23.1948364342253	68.6467464534876	18.8633209625383	1.90546621248515	22.9809802338021	2.75552481748972	2.32887794095645	25.7262923716108	8.19821594969408	83.7337853153688	10.0351561529942	14.0898719286785	6.07267002801769	55.0212001173572	31.3045773546841	8.5725005149051	47.355060532648	44.5554126206766	74.0033950801501
Basophils_gex	30.9728973737059	24.2841553228594	25.747361245123	26.9672397546162	10.6425784779243	15.2556545230612	18.4883481221176	49.1249732857905	4.77924785581691	46.9552566187793	67.6246038257062	39.5220054296049	7.71846961695429	1.6026642702331	15.6449086452647	39.8806441971893	19.7440953570644	13.2582277283773	2.03745802074312	42.2711581584783	20.1922967827837	27.2228304318909	7.07667688952703	13.4331886886302	6.15490772938343	56.5669511341187	25.1319876611087	4.79235788651235	48.1881585251487	21.806935106569	57.5656276537225	13.34857920565	40.4650175458161	26.4694100130128	6.85431660760826	11.9992114809705	19.0285117544127	4.31266510923146	17.374832364358	38.0495314042429	35.0906716129146	15.5647935999182	47.7132866006855	2.40531675663512	86.7350098789326	21.3223871093693	10.8506803268529	18.977222427939	23.2286647567166	5.57800761981014	1.88184324651168	33.2031666825005	19.4592363456643	61.6005822215342	26.4919041580962	19.9642583790919	63.257332567406	21.1671928387661	16.4282373207507	11.5599943218414	1.04664373867427	13.3339819640101	11.1649769795576	1.82644202088822	3.19148562181409	5.88977714863762	25.4427819723168	7.719731160728	66.5807411074714	64.9353924363802	22.3033169732004	56.9132881872305	4.98060002346926	8.95065291998046	11.7683329543427	42.9175893442011	3.73137536169118	37.0521087723441	5.38262435507681	2.65447759734266	58.3113917108501	30.2224089663284	10.7330221890209	40.7826635301859	100	1.2703385568762	20.6426376444934	16.6545409861835	42.3893322986924	10.2461883547252	1.66895980792639	35.9199976662646	3.48128825980052	3.23925924747243	49.7151211576316	6.95536844602495	33.3028799622114	10.6250482918168	7.58289783816421	12.6160716559617	38.1178340315804	47.4254977054259	23.8723198263473	54.6391357612429	32.2873382523222	21.1533650949962
CD4_T_cells_gex	20.5608411169123	29.239540464687	28.5913754631791	49.3423202541073	15.5097825581644	6.80495880547779	15.7276136023465	3.44066945515019	3.43202772218649	42.8925643050236	83.4711783881797	76.5366143751908	13.4651704727929	1.63973081401079	8.60718079802046	7.8022611859655	16.6030624617035	4.4568624162171	2.73677524659491	38.379570771941	23.8109913218351	22.2253277620826	3.43283257507245	5.91525433932034	9.59490924320622	16.1954924802218	15.4133349909889	2.19780870768295	21.3247932746825	25.5814986219204	15.0735570227378	56.9850728525391	27.2678734419417	21.8206601450822	1.32124073800178	2.37950834951029	47.4163143176355	4.25522598045403	13.966411515809	69.3303742991349	12.0080126163588	24.8888422977298	40.3446158109175	12.2233409579175	54.2482565114152	14.5555800364471	17.5798047749379	16.0587072184514	27.4340924462422	4.82478522134646	2.37774099259123	23.8908767106482	15.7198596787531	40.2504006881175	16.724831461447	14.3399337881259	31.8763432432112	21.9943228100313	16.4330889058675	12.0934396582516	2.16750221179486	16.7472747724388	6.06183245340733	7.37911687260425	2.50640174013539	5.97908439284884	24.8697896583376	5.81127791543886	65.7898561344977	51.5625827784989	10.619040306276	47.0201495441501	9.66110021883837	7.72803961444497	4.53979292959009	51.7414203461535	3.25345053225898	16.9172581577998	1.77627980772201	3.16576078987538	41.9992079685092	20.2911788462882	4.97788048572416	55.9616983887916	2.63456259615356	2.10411745135565	12.3286573249744	7.87692925081953	70.1666576940597	6.01267741848056	2.35790127155031	79.7552780273471	2.09246586203055	0.603963515582901	5.93143622490335	5.4099388296924	35.6263945929856	17.6506760610604	3.06608361243604	1.75161299533214	25.0948559342522	48.1351314789767	5.47909772695246	49.485579038725	35.8099208210293	11.4563101190577
CD4_Tcm_gex	16.7946774391172	40.3709582474219	34.113367743899	21.6804831430705	8.23891842560348	5.23990196685652	13.0700970071933	12.6626030272691	5.16415927705346	21.7031771638219	49.1880815279749	34.0603043034579	17.2531449169623	1.01830021503332	4.62424053232672	23.8812398855789	15.9077185517687	10.745139680611	1.35632404901011	59.1917962378185	19.8549608501517	20.4568258494723	85.7998178837529	5.39709737781925	7.51575423450443	36.7450176537535	10.0140665265632	2.14276924481707	29.530255403278	27.7339677031413	6.27348538112629	61.3443913199362	46.4706892150334	38.3427228256633	2.38874807726296	20.8343723621735	32.3259289095558	4.53702544057798	16.368045933951	43.5664900131524	50.8714234458156	11.8483669532746	30.2822908723893	5.32975075813827	48.1950215947587	16.7422570776317	6.70974681169296	0	29.9018509790385	3.9905469035769	2.31984226978521	45.3663888354284	18.4763998500177	30.1822592546487	12.9172872775866	7.22118977822954	75.1143115460114	42.3303420344387	10.7012896817225	11.5053231361354	3.41511489390583	10.4321651956943	4.29967615762364	2.08463018262532	2.09807767227524	3.85959041450045	23.9701969705871	8.63148826382228	44.0248082332198	70.3425689240115	6.99597914248772	35.7470909068231	3.49990520038528	14.3670688603472	7.28244851431052	5.95377021961284	1.99223536997813	21.4342204522489	1.20757791814107	2.77415633189069	21.3719366588865	20.5356458525865	11.1513302819046	71.9816589239733	71.7259287130774	1.51913946480392	16.1238899058594	10.747720223271	48.7143228716011	6.02555224186154	0.873799679720524	33.4648631384214	0.24254719624515	1.03244705084674	11.5680122516527	4.41799443991324	43.4007094359317	12.183465254945	2.15466835950125	2.29879383671036	45.5589216913065	38.3953419831255	6.97536345189515	75.4625902000396	47.8358268088151	18.7002631959241
CD4_Tem_gex	17.2783732539608	37.2629342590809	45.6246169756415	42.0396096604116	8.19278937804144	24.8131829655912	26.5325615807959	30.3073775353516	6.0872430659229	76.7085269053422	65.9337460407033	75.0243771701786	11.4208324171207	1.08411627408388	7.28286084030778	15.3190788455217	8.67890010986121	9.86973132767376	1.54144102865051	52.551083322381	15.974655345124	19.2054059248449	27.2011972559206	9.25857532418828	2.85327185112473	28.1811715712822	18.6647827078551	2.21189267245656	14.8056345115974	29.7996127312563	1.25850180144994	53.2220455224449	29.2032978855517	13.797090758341	4.47976505377574	19.5155579891108	26.8992876804984	5.05931955693099	15.254170220146	63.4634781221726	18.0057272208663	12.1007689965467	33.985525681317	3.06756567791796	46.962978125005	10.799541069294	5.53142075871819	15.4188123749257	20.7455206882611	3.96835939723495	4.25744875529162	48.7134771544021	12.8841965356322	57.3071880457281	11.1537036227235	20.6418428907234	0	37.9418916638596	31.2323287512047	10.5724146595594	2.56864247448637	17.9476795004546	4.84531750023497	1.45652714849541	3.20040790220653	5.78482704326034	12.4476947334255	4.81869090367325	27.696717485616	73.3651755709768	10.3373679380545	16.3168418713528	5.8360087158145	18.0220864460666	4.42287758037885	54.8459157249765	1.79824256206346	22.2243886229964	1.46352868648803	2.36228339261775	60.1270950132718	22.2258850945158	10.2660736049632	42.8191418025444	51.2027722902711	2.77350820894919	23.1705698046562	8.39993277463858	56.2191615535102	5.10114122069936	0.684407988046709	52.9008133187615	1.50717432221832	1.29462949833216	38.7970108621889	4.30708706118974	29.0987853969782	16.5550329098785	3.92077277548367	2.80871818068933	33.3777732859881	25.2566322207287	9.88423006806219	48.1828662499507	53.1384726132518	20.6278473541599
CD4_memory_T_cells_gex	27.0633412780476	80.8509155779523	22.0819340853095	45.9702591302896	11.6187728091947	33.2163113672863	13.5732411358883	40.0284840818476	5.91844735183561	16.1710912319275	55.5999418693379	44.2349140036341	13.9672724895933	1.11368873530454	2.665929976668	25.3863222507443	15.4327644561016	2.12638943897448	1.06812370193739	61.6773835746329	12.3819093515571	14.4507440067952	68.0679940568518	4.05650988510894	5.47459065555988	32.5569406085359	15.9600834285307	1.92547951637743	19.9308627784057	31.877164088675	23.9012897368788	7.39226273300325	53.9701927964977	32.2651790346574	4.67669117854821	23.7225648051915	27.5229256771281	6.19170199505874	23.7425908589201	35.0212385495344	15.8547229936599	14.4049792700459	45.345689048341	3.64895791243537	48.3293557365535	23.018645068193	14.9898169835649	12.3565606663069	20.3964894832311	3.75211910233961	3.69524256342184	18.2689526754503	9.49329627425078	57.8180141670779	11.5552612701065	6.93766042584598	54.3970760494583	31.3961963019495	23.857213056057	10.3551573759871	4.97050946667397	13.866294071302	9.42826413183866	2.11663821449186	3.39950626762173	6.56507782523089	62.3263003959107	3.24887454275752	64.2133815537384	66.256979384211	11.1753540534026	32.2232398118918	4.5315068603032	9.74691381508499	4.34651009424406	44.7518215486402	1.02673248871158	25.351680500087	2.5000571653924	1.81270726818249	33.5217199386541	25.2547190734824	14.698271428905	31.3823742406522	80.1421414185687	0.370675057461405	19.0633726030319	17.5378693899212	34.3851554001553	3.2108462655345	0.331434740126226	52.5661078217376	2.63682984216317	0.476596168717117	32.3896338127972	3.69451290081884	37.473209996741	10.0884242158943	3.29331655562972	2.86346333832124	45.2341791275532	30.2551776531172	10.6607081153926	34.7863514077588	34.7159046732189	20.6533607146579
