feature	bgj398	binimetinib	bkm120	byl719-ljm716	byl719	cgm097	clr457	hdm201	lee011	ljm716	lka136	llm871
Adipocytes_gex	31.2644173454222	10.7837801393815	31.6622845927278	32.9934784052386	37.4333184915121	8.62790534219417	12.490506297858	38.9385827878599	21.0343705155041	42.112005261647	20.9725616425448	31.6969120714083
Astrocytes_gex	100	86.9506573995654	17.2609057943371	59.4624807844057	20.5490400091101	51.5411287728099	78.7901998186995	65.1872843937842	26.7155259897583	78.1924119623853	17.1180780794488	35.9792545960241
B_cells_gex	44.5960677106042	5.86418157676755	53.3350989919963	19.5143992136024	26.766292903552	11.4474818443222	79.1369048972045	45.0860104837504	34.2810018075178	18.399702321432	23.9691503782749	14.3046921450032
Basophils_gex	28.963622788635	22.3511153979628	19.1915598349482	11.0544253348188	21.6851611067814	24.6762066705433	8.79464348601902	17.734632773063	11.4719074535836	43.3268892857494	23.7029495093515	17.7799625050075
CD4_T_cells_gex	49.3544522656641	25.2862929641218	21.5907703199998	41.5048052422386	23.182411869451	33.1847595850338	31.6545105519401	21.4706412984523	26.3062432352494	26.2348930095741	16.2769207762196	22.1227076395815
CD4_Tcm_gex	27.2425894907249	10.490493115355	47.0689854484099	46.810390004542	44.5555142399975	18.3136435342892	28.0234750417883	31.7039560086736	10.737308971325	22.6605451074125	21.668624034525	20.1357958538496
CD4_Tem_gex	27.1729532378301	12.7046455786341	31.0427668045498	20.7350720505234	23.1779842338563	28.9248281826436	34.9345472684318	65.1195784704925	26.2974935874033	35.4427676759918	24.7814652736042	28.22407300414
CD4_memory_T_cells_gex	15.8154636480165	25.4678120837409	36.6786814454506	33.1410984319059	48.1438532529629	11.2382015448243	9.21390223132735	49.8070963547371	9.8495443811646	25.9635705581409	32.1869370276954	30.0424799131235
CD4_naive_T_cells_gex	9.65225475450651	26.6392255403806	34.6583625226719	10.2621201827913	31.8600915547605	16.876796352246	34.4019635579399	28.2909143596814	20.484126866276	78.3427588219442	40.9756580498058	1.73615777819313
CD8_T_cells_gex	40.073338404742	24.8067050914273	18.0568957410867	70.1843108826615	10.7999889113451	23.2240227282778	4.39026479483175	89.7513091345634	42.0152551507896	56.2774696827931	18.5037766644226	64.3790631969511
CD8_Tcm_gex	60.9110810144911	20.9127961282235	5.92944563341972	39.5472403470945	6.15546217749481	26.1377561097176	20.534190026709	87.9277673552705	14.7497274111351	62.1563254527623	9.58193316282938	35.2587233881134
CD8_Tem_gex	24.9504758686269	10.3209342775268	39.6326936807435	26.1270438425647	56.3437778918829	47.1776821677377	33.5475482336178	31.6003648366104	8.86308291559522	20.957007547903	29.1685555998467	5.52408934118622
CD8_naive_T_cells_gex	11.67257862415	8.19354006438431	30.4593813852111	10.3280367309738	10.214521520808	43.5733053482345	18.4633910823881	7.53196843447693	31.9869078610652	35.2162079022882	28.6093906788362	43.393582151267
CLP_gex	24.3015979274528	32.4432808932037	26.734316920753	23.0263447108058	17.4555949077823	39.9116562768361	24.0531024049945	25.2523449409163	35.4222799677244	18.8285806825863	25.5071696984534	19.4500060320713
CMP_gex	22.7170972116209	24.3280527534184	37.9467805937566	26.0731924774379	70.9084931778294	11.5806150812874	45.7651869453728	42.4871973545478	24.7515546913191	17.4289240333865	15.0492048547929	16.7010825321758
Chondrocytes_gex	88.7891877579248	33.0845954117429	29.8065700115649	44.9980203895934	52.2242765974963	17.520233986102	64.4849921795857	29.0373304326373	21.4463880629994	75.9558698169952	31.1483759805071	18.2422155677873
Class_switched_memory_B_cells_gex	15.5281328428618	3.84645413948935	68.9550399375408	23.0815715782412	43.3415930905315	42.6146041933694	36.2623124738574	47.04961282555	11.8240907555415	13.5720999418677	33.146662908223	34.8713662045304
DC_gex	17.0229702343694	10.9642716909488	23.4080252193676	13.5210685081578	31.0481848097037	12.8537948046373	23.7915944484069	34.4766268767113	20.1856193798021	30.1714139215204	26.3463131183808	21.2326033914489
ENSG00000002016_cnv.panel	10.9237566451885	0.441248647414949	10.1310370372616	2.25329854124855	0.0283027816335096	6.61546998423502	0.159573040213965	3.41723562206633	0.502828550783516	13.1212068344324	0.106512987367136	1.52643190501145
ENSG00000002016_mut.panel	8.70959005705046	1.06960822630553	5.2575223930432	4.05057208347716	4.74510894238781	2.24324640384669	0.107895825073032	1.3231726518533	2.90615168547549	3.06383497547603	0.043033381772819	2.9475104305328
ENSG00000002834_cnv.panel	8.70959005705046	2.30429054705567	5.70011035216853	4.95783616090756	4.85424110586964	2.81181953791645	1.75533044594421	5.75332607052878	6.21607578637324	3.06383497547603	3.28601641707216	2.9475104305328
ENSG00000002834_mut.panel	0	0	0	0.455715609795515	0	0.056108361519536	0.289254263052618	1.74258937893404	0.0689325000393597	0	0	0
ENSG00000004700_cnv.panel	0	0.286389332249152	7.43175777190244	1.01519447944065	0.234550497323119	6.38843793946732e-06	4.61099169265105	1.61687351412898	6.4545075379728	13.1212068344324	5.39702012583274	0
ENSG00000004700_mut.panel	1.3805069521145	0.213023564903071	2.32314025108402	0.324829434648259	2.62464809392265	11.1741161569828	0	0	0	0	0	4.82741668010417
ENSG00000005007_cnv.panel	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005007_mut.panel	1.14216411665188	1.56000945613254	0.696238212768292	0.0547890797555878	2.27539332224605	2.78334059250949	0.119306030496951	9.97044733825519	0.151828095661243	0.258328457059724	4.74110618123554	0.0155917171016814
ENSG00000005073_cnv.panel	0.134929708793331	1.5523139827468	3.25569588340194	0	0.00588829025578687	0.379803680445245	0.02241877918608	0.16919112434663	3.76186150572927	2.76845281494569	0.514136539637394	2.89648644356196
ENSG00000005073_mut.panel	0.0514194649277107	2.20409128178715	0.401071209654975	2.82047648468032	5.04196258847798	0.541821854238066	2.83049726034636	2.18102177011325	0.50028459668698	0	24.3589297908711	0.479475024586843
ENSG00000005339_cnv.panel	0.0630205511213165	7.72531142703359	0.033526584859965	2.02740769096669	14.8655748884016	4.1150260897534	2.91239678417836	2.36923844098291	0.572225226067856	6.10925038431977	0.519773315753521	0.928920292534354
ENSG00000005339_mut.panel	4.34816211091681	0.00163344627233175	0.185128620982463	5.53527621296627	0.162986543626996	10.3483656717171	0.165859237265434	7.00470199574024	0.946815899219678	1.33731479431619	0.958207663149786	8.53298884255937
ENSG00000006468_cnv.panel	9.71047786197282	1.62227543136072	3.73678562584687e-05	47.0415080527224	1.06108088190421	67.3962037000656	1.39240255013357	61.9451060637171	4.33546338503423	0	0	24.0257102816577
ENSG00000006468_mut.panel	1.64755075296228	2.25392319487738	8.03587402160107	5.19096320685212	7.71427653151795	4.58409411565366	2.26617467253108	9.77252194745348	5.96630017643728	0	5.35340685569743	11.7030282470374
ENSG00000007312_cnv.panel	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008083_cnv.panel	1.66729250691796	1.11790955624656	0	2.84750472195032	38.4841610909281	0.964540179503786	0	11.6078046540279	6.07602633742869	0	6.30190320287134	1.75585255915018
ENSG00000008083_mut.panel	0	1.41570569569574	1.05672078652568	1.89556394443561	0.212530779295799	3.42298822237287	0.140867068826144	0.0491405547845471	2.12221359257223	0	0.76798332287887	0
ENSG00000008130_cnv.panel	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008130_mut.panel	1.6739156707699	2.90935070403816	3.21716199760938	3.12547669097028	7.49072232056901	5.01005875623263	4.81782792793042	0.97790046063788	1.16531997348726	0.801315717775423	4.06362349715919	6.99603341264265
ENSG00000009307_cnv.panel	0.074711929930376	0.296321976881308	0.901470273389443	0.00400697898850447	0.597863675725906	0.00729094443163257	1.90350477235607	7.93052828435975	0.00138785790989954	0.00104690626644776	0	8.10111250450382
ENSG00000009307_mut.panel	0	43.4369962710592	52.4928146397427	33.7999616975419	3.01710982757916	0.00415121140264654	20.3291048372144	24.9379216850796	51.2114218137148	0	2.44117816813286	0
ENSG00000009709_cnv.panel	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010072_cnv.panel	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010072_mut.panel	0	26.2143780570208	70.3541534627145	56.2627348379935	0	0	5.93325045671013	10.1730135275937	47.9810789365915	0	0	0
ENSG00000010671_cnv.panel	0.000254183681008671	0.258303202174551	6.53456774925051	3.86418571653298	0.0604326729824638	0.82407524313158	14.8597505605184	0.876443521400179	1.49906054803381	0.190926906649744	3.53676020916831	6.49885715359881
ENSG00000010671_mut.panel	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010810_cnv.panel	5.35246741664919	0.168870470492324	2.36021939878434	0	3.2774715447946	2.770800501529	4.28911967807159	0.388329593908303	0	0	0	5.77619470356034
ENSG00000010810_mut.panel	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012048_cnv.panel	0	2.3691830717207	1.25063369786329	0.642768174644398	0.168046118902542	0	0.108975218203373	0	3.1764005628052	0	5.47501862618401	0
